Name,Score,Popularity
Love Hina Christmas Special: Silent Eve,7.31,2704
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.18,2850
Maburaho,6.74,1989
Macross Zero,7.51,3377
Onegai☆Teacher,7.11,1283
Onegai☆Twins,6.82,2112
Rizelmine,6.51,4167
Speed Grapher,7.31,1817
Sen to Chihiro no Kamikakushi,8.78,44
Tenshi na Konamaiki,7.43,3978
Video Girl Ai,7.2,3873
Wolf's Rain,7.8,694
Words Worth,6.72,6424
Yumeria,6.08,3959
Samurai Champloo,8.51,106
Lodoss-tou Senki: Eiyuu Kishi Den,7.13,3707
Lodoss-tou Senki,7.36,2466
R.O.D: Read or Die,7.63,2513
R.O.D: The TV,7.53,2463
Ranma ½,7.76,915
Pure Mail,6.17,8824
Project A-Ko,6.85,4610
Pia Carrot e Youkoso!!,5.94,8947
Pia Carrot e Youkoso!! 2,6.07,10014
Pia Carrot e Youkoso!! 2 DX,6.19,9879
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.81,9592
Shin Angel,6.17,9307
Kidou Senkan Nadesico,7.49,2844
Kidou Senkan Nadesico: The Prince of Darkness,6.73,5032
Kuro no Danshou,5.62,9652
Mezzo Forte,6.62,3720
Mezzo DSA,6.65,4413
